Ethnicity,Religion,Birth Country,Hometown,# of Languages,Birth Year,Gender,Sexuality,# of Siblings,Astrological Sign,Parents in STEM,Relationship Status
South East Asian,Agnostic,Canada,Richmond Hill,1,2005,Cis Male,Heterosexual,1,Capricorn,Yes,Yes
South Asian,Hinduism,Canada,Toronto,2,2006,Cis Male,Heterosexual,1,Pisces,One parent,No
East Asian,,Canada,Richmond Hill,3,2006,Cis Female,Heterosexual,2,Cancer,One parent,No
East Asian,Christianity,Canada,Barrie,2,2004,Cis Male,Heterosexual,0,Scorpio,Yes,No
West European,Christianity,Canada,Oakville,1,2006,Cis Female,Heterosexual,1,Scorpio,One parent,Yes
East Asian,Christianity,Canada,,2,2006,Cis Female,Heterosexual,1,Gemini,No,Maybe
East European,Christianity,Belarus,Toronto,3,2006,Cis Female,Heterosexual,1,Pisces,No,Yes
South East Asian,Christianity,Philippines,Scarborough,1,2006,Cis Female,Heterosexual,1,Aries,No,No
Middle Eastern,Agnostic,Canada,Waterloo,4,2006,Cis Male,Heterosexual,1,Cancer,Yes,Yes
East Asian,Atheist,Canada,Markham,2,2006,Cis Male,Heterosexual,1,Libra,No,No
South Asian,Sikhism,Canada,Victoria,1,2006,Cis Female,,1,Scorpio,No,No
South Asian,Hinduism,India,Brampton,2,2006,Cis Female,Heterosexual,1,Capricorn,No,Yes
South Asian,Hinduism,Canada,Waterloo,2,2006,Cis Female,Heterosexual,1,Sagittarius,One parent,Maybe
South Asian,Hinduism,Canada,"Cambridge, ON",2,2006,Cis Female,Heterosexual,2,Aries,No,No
East Asian,Christianity,Canada,Mississauga,1,2006,Cis Female,Heterosexual,1,Taurus,No,No
South Asian,Christianity,Canada,Milton,1,2006,Cis Female,Heterosexual,1,Virgo,Yes,No
North European,Agnostic,Canada,Calgary,1,2006,Cis Male,Heterosexual,1,Libra,No,No
Middle Eastern,Christianity,Canada,,2,2006,Cis Female,Heterosexual,1,Capricorn,No,No
North European,Christianity,Canada,Windsor,2,2006,Cis Male,Heterosexual,2,Gemini,Yes,Yes
East African,Islam,Canada,Brampton,3,2006,Cis Female,Heterosexual,5,Aquarius,No,No
East Asian,Christianity,Canada,Mississauga,5+,2006,Cis Female,Heterosexual,1,Aquarius,No,No
South Asian,Hinduism,,,2,2006,Cis Female,Heterosexual,2,Sagittarius,No,No
South Asian,Hinduism,Canada,Mississauga,2,2006,Cis Female,Heterosexual,1,Taurus,Yes,No
East Asian,Atheist,Canada,,2,,,Heterosexual,1,Cancer,No,No
South Asian,Islam,Canada,Markham,2,2006,Cis Male,Heterosexual,1,Sagittarius,One parent,No
South Asian,Christianity,USA,New Jersey,2,2006,Cis Female,Heterosexual,2,Scorpio,Yes,No
East African,Christianity,Kenya,Nairobi,2,2007,Cis Female,Heterosexual,2,Aquarius,One parent,No
West African,Christianity,Canada,Burlington,3,2004,Cis Female,Heterosexual,2,,One parent,No
Middle Eastern,Islam,Egypt,Ottawa,3,2004,Cis Male,Heterosexual,2,Sagittarius,Yes,No
East Asian,Atheist,Canada,Toronto,1,2006,Cis Female,Heterosexual,1,Libra,Yes,Yes
East Asian,Agnostic,Canada,Burnaby,2,2006,Cis Female,Heterosexual,1,Leo,One parent,Yes
South Asian,Hinduism,Canada,Waterdown,3,2006,Cis Female,Heterosexual,1,Scorpio,One parent,No
South European,Agnostic,Canada,,2,2006,Cis Female,Bisexual,1,Virgo,One parent,Yes
East Asian,Christianity,China,Toronto,2,2006,Cis Male,Heterosexual,0,Scorpio,One parent,No
South Asian,Hinduism,Canada,Milton,3,2006,Cis Female,Heterosexual,1,Aries,No,No
South Asian,Hinduism,Canada,Brampton,2,2006,Cis Female,Bisexual,1,Virgo,Yes,No
South Asian,Hinduism,USA,Toronto,2,2006,Cis Male,Heterosexual,1,Cancer,Yes,No
East Asian,Atheist,USA,Toronto,3,2006,Cis Female,Queer,0,Scorpio,No,No
East Asian,Christianity,Canada,Calgary,3,2005,Cis Male,Heterosexual,0,Cancer,No,No
East Asian,Christianity,Canada,Toronto,2,2006,Cis Male,Heterosexual,1,Scorpio,No,No
South Asian,Sikhism,Canada,Kitchener,2,2006,Cis Female,Heterosexual,2,Gemini,No,No
South Asian,Agnostic,India,Brampton,2,2006,Cis Male,Heterosexual,1,Scorpio,One parent,No
South Asian,Islam,Pakistan,Bowmanville,3,2006,Cis Female,Heterosexual,1,Scorpio,Not sure,No
South European,Christianity,Canada,Richmond Hill,1,2006,Cis Male,Heterosexual,1,Gemini,Yes,No
South Asian,Islam,Canada,Scarborough,2,2006,Cis Male,Heterosexual,1,,No,Yes
South Asian,Agnostic,Canada,Vaughan,3,2006,Cis Male,Heterosexual,1,Scorpio,Yes,No
South European,Agnostic,Canada,Saskatoon,2,2006,Cis Male,Heterosexual,2,Leo,Yes,No
South Asian,Hinduism,Canada,Calgary,2,2006,Cis Female,Heterosexual,1,Leo,No,No
Middle Eastern,Baha'i Faith,Canada,Toronto,1,2006,Cis Male,Heterosexual,1,Capricorn,No,No
South East European,Christianity,Canada,Oakville,2,2006,Cis Male,Heterosexual,1,Pisces,One parent,Yes
East Asian,Christianity,Canada,Burnaby,2,2006,Cis Male,Heterosexual,,Leo,One parent,No
South Asian,Sikhism,Canada,,2,2006,Cis Male,Heterosexual,1,,No,No
Latin American/Hispanic,Christianity,Peru,Oakville,3,2006,Cis Male,Heterosexual,1,Sagittarius,Yes,No
South Asian,Hinduism,Canada,Brampton,2,2006,Cis Female,Heterosexual,2,Sagittarius,No,No
East Asian,,,,3,2006,Cis Female,Heterosexual,1,Libra,No,No
Middle Eastern,Islam,Turkey,Hamilton,2,2006,Cis Male,Heterosexual,1,Pisces,One parent,Yes
Jamaican,Atheist,Canada,Burlington,1,2006,Cis Male,Heterosexual,2,Gemini,No,
South East Asian,,,,,,,,,,,
North African,,,,,,,,,,,
South East European,,,,,,,,,,,
West European,,,,,,,,,,,
West European,,,,,,,,,,,
South East Asian,,,,,,,,,,,
East European,,,,,,,,,,,
West European,,,,,,,,,,,
East Asian,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
66,55,55,50,57,56,56,56,56,54,57,56