Response,Count
"Astronaut",2
"Pilot",1
"Engineer",1
"Baseball Player",1
"Zookeeper",1
"A Mom",1
"Circus Performer",1
"Teacher",1
"Soccer Player",1
"Youtuber",1
"Forensic Scientist",1
"Corporate Lawyer",1
"CEO",1
"Doctor",1
"Hockey Player",1
"Veterinarian",1
"Politician",1
"Game Developer",1
"Dentist",1
"Neurosurgeon",1
"Chef",1
"Scientist",1
"Barbie",1
"Architect",1
"Orthodontist",1
"Businesswoman",1
"Actress",1
"Artist",1
"Garbage Man",1
"Mathematician",1
"Marine Biologist",1
"Police Officer",1
"Firefighter",1
"Truck Driver",1
"Basketball Player",1