Why MGTE,Finding out about MGTE,1st Program Choice,2nd Program Choice,Industry/Career,Describe MGTE,Dropping or Switching MGTE,MGTE Experience
I hate science,Random google search,MGTE,,Software,"fun, chill, interesting",Yes,FUN
To transfer,,,UBC Electrical Eng,,,No,
"Wanted to be in engineering, but didn't like any other eng programs",Transfer,MGTE,UW CS,Software,transfer to realeng,Yes,hwtrs
Business and Eng combo,Waterloo brochures,MGTE,UW CS,Product/Project Management,Management. Too. Legit,No,Sweat treat
"I like data, project management, and engineering",,MGTE,UBC CS,Product/Project Management,The absolute best,No,Yes
management2legit,The internet,MGTE,UBC Eng,Data,,No,
Wanted to feel like a smart business bro,Waterloo website,MGTE,CS BBA,Software,,No,good
Program teaches cool concepts,University fair,MGTE,UofT Industrial Eng,Consulting,"unique, engaging, encompassing",No,AWESOME
Interdisciplinary program,Waterloo website,MGTE,McGill Comp Eng,Data,"misunderstood, breadth, underrated",Yes,legit
Close to industrial engineering,Cousin,Waterloo CS,Waterloo SYDE,Software,"chill, easy, fun",Yes,chill
Good co-op program, Waterloo Eng website,MGTE,UCalgary Civil Eng,Product/Project Management,,Yes,
Lots of career paths after graduating,Internet,MGTE,UofT Mech Eng,Product/Project Management,Broad. Unique. Underrated.,Yes,Life-changing :o
Diversity of career pathways,Sisters friend,Western Eng + Ivey,MGTE,,,No,Fun
Co-op,Online,MGTE,UofT Industrial Eng,Product/Project Management,,No,
Best program,Friend,MGTE,UofT Industrial Eng,Product/Project Management,"2legit, amazing, lit",No,litty
Versatility,Google,MGTE,Waterloo FARM,Software,"flexible, light, idk",Yes,Interesting
,On the Waterloo website,MGTE,McMaster Eng,Software,Management too legit,Yes,Manageable
Interdisciplinary nature and room to explore more career options while in uni,Family friend,MGTE,UW CS,Product/Project Management,Management too legit,No,FIREEE
I wanted something with more options after undergrad,Fall Open House 2023,MGTE,UW CFM,Software,Best Eng program,No,Tired
Co-op,,MGTE,UW Mech Eng,Software,,Yes,Chill
Aligned with my interests the most with a superior co-op program,Research,MGTE,Western Eng + Ivey,Data,"Unique, Useful, Entrepreneurial",No,Amazing
,,,,Data,,No,
Can explore various career options,Waterloo ENG Quiz,,UofT Comp Eng,Product/Project Management,"Excel, Supply Chain, Software",No,Versatile
,Waterloo ENG Quiz,MGTE,uoft trackone,Software,yay optimization woo,Yes,tuff
I’m still trying to figure that out,Internet,,,Product/Project Management,,Yes,
I enjoyed the song,my brother,MGTE,McGill CS,,"real, underrated, gorgeous",No,interesting
I didn’t want to be a Tech or Finance Bro,My sib,MGTE,MGTE,Software,Chill as hell,Yes,Bombaclastic
"It's tailor-made for my interests and career aspirations and is more lively and fun than other programs in Waterloo Eng. Also, good ratio of job prospects vs academic difficulty.",Sibling ,MGTE,UofT Industrial Eng,Software,"Software, Data and Process Optimization",No,Exciting
,Campus Tour,MGTE,McMaster Comp Eng,Software,,Yes,meh
Aspiring PM,upper year mech eng student,Western Eng + Ivey,Queens Business,Product/Project Management,john r long,Yes,pain
To be versatile in my career,A current third year in the program who I was friends with back in high school,UBC Engineering,UofT Engineering,Product/Project Management,"Versatile, Real Engineering",No,Fire
"A lot of broad topics, electives, and co-op",Cousin told me how it's really light and the various electives you can take,MGTE,McMaster Comp Eng,Software,"Weird, Social, and Outgoing",No,Easygoing!
,The Waterloo Eng book,MGTE,UofT Comp Eng,Product/Project Management,Too Legit,Yes,awesome
I love excel,Website,MGTE,UofT Industrial Eng,Product/Project Management,"Confusing, fun, enjoyable",No,Fun
Gives me a good amount of flexibility for coops,Was reading through the different engineering programs Waterloo offered and it looked cool and different,MGTE,UW CFM,Software,Study. For. Gene,Yes,Growth
,,MGTE,Rotman Commerce,Product/Project Management,,No,fire
Sounded cool,,MGTE,UofT EngSci,Software,Unique Underrated Broad,Yes,Stupendous!!!!
Wanted to do engineering but Ididn’t really want to focus on scientific topics,Networking event,MGTE,Queens Eng,Data,I don’t know,No,Solid
"I wanted to do buisness + engineering at the start, but now I am transitioning into AI + software engineering",Application Portal,MGTE,Materials Engineering,Software,No clue man,Yes,ambiguous
,,,,Product/Project Management,,,
eng + business = my sweet spot,,Rotman Commerce,MGTE,Product/Project Management,Interesting. Cool. Fire (idk bro),No,a roller coaster (upside down smiley emoji)
,Upper year family member,MGTE,UW CS,Product/Project Management,It's a family,No,LOVING
,Through family,MGTE,UW Math ,Data,,No,Fire
,UW Website,MGTE,UW Math,Product/Project Management,,No,
,,Sauder Business,,Software,,,
,,,,Data,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
34,36,40,40,43,30,43,36