Dream Job,HS Vs Uni,Coding Level,Internship Experience,HS Average,Fav Subject,Academic Programs,Extracurriculars,Part-Time Job,Grad Awards,HS Preparation
Pilot,University,8,Yes,,,,,,,
Engineer,High School,10,Yes,88,Math,Enrichment,Sports,No,,8
Baseball Player,High School,6,Yes,96,Math,AP,Tutoring,Yes,,9
Zookeeper,High School,2,No,93,Math,Enrichment,Volunteering,Yes,Subject Award,3
A Mom,High School,3,No,96,Math,French Immersion,SHAD,Yes,Subject Award,7
Circus Performer,High School,4,No,98,Math,Extended French,Student Council,Yes,Subject Award,8
Teacher,High School,6,No,95,Math,Enrichment,Non Profit Organization,Yes,Subject Award,9
Soccer Player,High School,2,No,96,Math,AP ,Volunteering,No,Valedictorian,4
Youtuber,High School,3,No,96,Math,Extended French,Student Council,No,Athletic Award,8
Forensic Scientist,High School,8,No,92,Chemistry,Extended French,Volunteering,No,Athletic Award,8
Corporate Lawyer,High School,5,No,98,Math,AP,Sports,No,,7
CEO,High School,3,No,94,Chemistry,IBT,Sports,No,,6
Doctor,High School,7,Yes,95,Math,AP,Tutoring,No,,10
Astronaut,High School,1,No,94,Math,AP,Volunteering,Yes,Subject Award,7
Hockey Player,High School,1,No,97,Math,Extended French,SHAD,Yes,Subject Award,7
Veterinarian,High School,7,No,95,Math,AP,Non Profit Organization,No,Subject Award,8
Politician,High School,1,No,90,Social Studies,,Robotics,Yes,,8
Game Developer,High School,4,No,94,Data Management,,Student Council,Yes,Subject Award,7
Dentist,High School,2,No,93,Math,French Immersion,Sports,Yes,,8
Neurosurgeon,High School,1,No,94,Math,,SHAD,Yes,Subject Award,2
Chef,High School,5,Yes,97,English,IB,Drama,No,Subject Award,8
Scientist,High School,1,,93,Math,AP,Student Council,Yes,Subject Award,
Barbie,High School,5,Yes,94,English,SHSM,Volunteering,No,Subject Award,7
Architect,High School,2,No,92,Art,IBT,Sports,No,,9
Orthodontist,High School,8,Yes,96,Physics,,Robotics,No,,7
Businesswoman,High School,6,Yes,98,English,AP,Tutoring,Yes,Subject Award,8
Actress,High School,2,No,95,Economics,IB,Volunteering,No,,6
Artist,High School,1,No,,Chemistry,French Immersion,DECA,No,Subject Award,3
Garbage Man,University,8,Yes,,,SHSM,Music,,Athletic Award,
Mathematician,High School,7,No,95,Music,MaST,DECA,Yes,Subject Award,6
Marine Biologist,High School,6,No,97,Art,AP,Student Council,Yes,Athletic Award,7
Police Officer,High School,3,No,93,Physics,Enrichment,Non Profit Organization,Yes,Leadership Award,8
Astronaut,High School,6,No,94,Math,AP,Tutoring,Yes,Subject Award,8
Firefighter,High School,4,Yes,95,Chemistry,SHSM,Tutoring,No,Leadership Award,10
Truck Driver,High School,1,No,94,Math,AP,Sports,Yes,,5
Basketball Player,High School,2,No,92,Math,AP,Non Profit Organization,Yes,Subject Award,9
,High School,8,No,98,Math,French Immersion,Tutoring,No,Subject Award,8
,High School,3,No,97,Math,Extended French,Volunteering,Yes,Leadership Award,8
,High School,2,No,97,Math,Extended French,Drama,No,,10
,High School,8,No,93,Computer Science,Enrichment,DECA,Yes,,8
,High School,3,No,92,Psychology,IB,Sports,Yes,,4
,High School,7,No,96,Gym,AP,Volunteering,No,,9
,High School,6,Yes,96,Math,SHSM,SHAD,No,Subject Award  ,5
,High School,5,No,96,Gym,AP,Non Profit Organization,Yes,Academic Award,10
,High School,7,No,95,Math,French Immersion,Volunteering,Yes,Athletic Award,8
,High School,3,No,98,Chemistry,IB,Volunteering,Yes,,7
,High School,1,No,97,Math,AP,Sports,Yes,Subject Award,10
,High School,3,Yes,90,Chemistry,Enrichment,Tutoring,No,Subject Award,8
,High School,2,Yes,98,Math,AP,Sports,Yes,Subject Award,6
,High School,8,No,97,Math,AP,Student Council,Yes,Salutorian,5
,High School,10,No,93,Math,AP,DECA,Yes,Athletic Award,6
,High School,6,No,95,Math,French Immersion,Sports,Yes,Subject Award,8
,High School,4,No,94,Math,AP,Volunteering,Yes,,7
,High School,5,No,96,Math,Extended French,Small Business,No,,6
,High School,2,No,90,Data Management,Extended French,MUN,No,Athletic Award,8
,High School,6,No,95,Gym,Enrichment,Non Profit Organization,Yes,Athletic Award,4
,High School,7,No,98,Gym,,Tutoring,Yes,Subject Award,8
,,,,,,,Volunteering,,,
,,,,,,,Music,,,
,,,,,,,Student Council,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,Tutoring,,,
,,,,,,,Student Council,,,
,,,,,,,Drama,,,
36,57,57,56,54,55,51,Visual Arts,55,38,54
,,,,,,,Robotics,,,
,,,,,,,Sports,,,
,,,,,,,Chess Club,,,
,,,,,,,MSA,,,
,,,,,,,Volunteering,,,
,,,,,,,Music ,,,
,,,,,,,Drama,,,
,,,,,,,Volunteering,,,
,,,,,,,DECA,,,
,,,,,,,Robotics,,,
,,,,,,,Sports ,,,
,,,,,,,Student Council,,,
,,,,,,,Tutoring,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,Student Council,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,Music,,,
,,,,,,,Robotics,,,
,,,,,,,Sports,,,
,,,,,,,Sports,,,
,,,,,,,Music,,,
,,,,,,,Volunteering,,,
,,,,,,,Tutoring,,,
,,,,,,,DECA,,,
,,,,,,,Sports,,,
,,,,,,,Sports,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Tutoring,,,
,,,,,,,Sports,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Visual Arts,,,
,,,,,,,Music,,,
,,,,,,,Student Council,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,DECA,,,
,,,,,,,Volunteering,,,
,,,,,,,SHAD,,,
,,,,,,,Music,,,
,,,,,,,Asian Heritage Club,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,Visual Arts,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,DECA,,,
,,,,,,,Volunteering,,,
,,,,,,,Music,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Student Council,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,DECA,,,
,,,,,,,Sports,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Music,,,
,,,,,,,DECA,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,Music ,,,
,,,,,,,Dance,,,
,,,,,,,Student Council,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Sports,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Tutoring,,,
,,,,,,,Robotics,,,
,,,,,,,Volunteering,,,
,,,,,,,Math Club,,,
,,,,,,,Science Club,,,
,,,,,,,Art Club,,,
,,,,,,,Trivia Club,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,SHAD,,,
,,,,,,,Music,,,
,,,,,,,SHAD,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,DECA,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Volunteering,,,
,,,,,,,Tutoring,,,
,,,,,,,Student Council,,,
,,,,,,,Volunteering,,,
,,,,,,,Robotics,,,
,,,,,,,Sports,,,
,,,,,,,Tutoring,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Volunteering,,,
,,,,,,,SHAD,,,
,,,,,,,Music,,,
,,,,,,,Student Council,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Volunteering,,,
,,,,,,,Sports,,,
,,,,,,,Music,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,173,,,